Date : 2025-05-05 21:52:36
Directory : ./
Total : 86 files,  16689 codes, 1111 comments, 1510 blanks, all 19310 lines, 6.24% comment rate

Languages
+------------+------------+------------+------------+------------+------------+--------------+
| language   | files      | code       | comment    | blank      | total      | comment rate |
| web/src/components/Course/CourseComments.vue      | Vue        |         95 |          3 |         16 |        114 |        3.06% |
| web/src/components/CourseCard.vue                 | Vue        |         45 |          0 |          6 |         51 |        0.00% |
| web/src/components/CourseSchedule.vue             | Vue        |        328 |         20 |         51 |        399 |        5.75% |
| web/src/layout/index.vue                          | Vue        |         18 |          0 |          2 |         20 |        0.00% |
| web/src/layouts/BasicLayout.vue                   | Vue        |        144 |          7 |         21 |        172 |        4.64% |
| web/src/main.js                                   | JavaScript |         18 |          1 |          4 |         23 |        5.26% |
| web/src/router/index.js                           | JavaScript |        124 |          3 |         11 |        138 |        2.36% |
| web/src/stores/index.js                           | JavaScript |          3 |          0 |          2 |          5 |        0.00% |
| web/src/stores/user.js                            | JavaScript |         23 |          0 |          3 |         26 |        0.00% |
| web/src/views/Course/CourseDetail.vue             | Vue        |        992 |         48 |        105 |      1,145 |        4.62% |
| web/src/views/Home.vue                            | Vue        |        269 |          0 |         37 |        306 |        0.00% |
| web/src/views/Profile.vue                         | Vue        |        175 |          7 |         14 |        196 |        3.85% |
| web/src/views/admin/AdminLayout.vue               | Vue        |         86 |          0 |         12 |         98 |        0.00% |
| web/src/views/admin/Home.vue                      | Vue        |         90 |          0 |          9 |         99 |        0.00% |
| web/src/views/admin/Logs.vue                      | Vue        |        124 |          6 |         13 |        143 |        4.62% |
| web/src/views/dashboard/index.vue                 | Vue        |          7 |          0 |          1 |          8 |        0.00% |
| web/src/views/login/index.vue                     | Vue        |        224 |          0 |         31 |        255 |        0.00% |
| web/src/views/register/index.vue                  | Vue        |        370 |         13 |         46 |        429 |        3.39% |
| web/src/views/student/AIAssistant.vue             | Vue        |        308 |          6 |         46 |        360 |        1.91% |
| web/src/views/student/CourseSelection.vue         | Vue        |        393 |         21 |         39 |        453 |        5.07% |
| web/src/views/student/Grades.vue                  | Vue        |          7 |          0 |          1 |          8 |        0.00% |
| web/src/views/student/MyCourses.vue               | Vue        |        328 |         13 |         38 |        379 |        3.81% |
| web/src/views/teacher/GradeManagement.vue         | Vue        |        302 |         16 |         30 |        348 |        5.03% |
| web/src/views/teacher/StudentManagement.vue       | Vue        |        400 |         19 |         39 |        458 |        4.53% |
| web/src/views/teacher/TeachingCourses.vue         | Vue        |        452 |         27 |         55 |        534 |        5.64% |
| web/vite.config.js                                | JavaScript |         23 |          0 |          1 |         24 |        0.00% |
| Total                                             |            |     16,689 |      1,111 |      1,510 |     19,310 |        6.24% |
+---------------------------------------------------+------------+------------+------------+------------+------------+--------------+
